width,height,ply,wincount,drawcount,lostcount,time
6, 5, 30, 0, 3595314, 2845218, 30.663
6, 5, 29, 3863380, 10786190, 15512508, 34.500
6, 5, 28, 17241780, 19885385, 36919812, 39.310
6, 5, 27, 40509668, 27027918, 81538492, 46.332
6, 5, 26, 80568972, 32689796, 111136684, 52.273
6, 5, 25, 109744020, 34313392, 170653340, 60.160
6, 5, 24, 155583558, 34082784, 162941086, 50.376
6, 5, 23, 150800576, 31195360, 196096600, 57.882
6, 5, 22, 169395874, 26654824, 142699300, 59.048
6, 5, 21, 128388916, 22150912, 145804204, 63.599
6, 5, 20, 121866259, 16711997, 85519993, 58.445
6, 5, 19, 75763378, 12858600, 77321622, 57.661
6, 5, 18, 62862416, 8607374, 37392818, 49.553
6, 5, 17, 32855904, 6125814, 30771310, 42.973
6, 5, 16, 24427608, 3638155, 12430721, 34.709
6, 5, 15, 10865314, 2392464, 9513736, 29.227
6, 5, 14, 7353782, 1260560, 3197882, 23.661
6, 5, 13, 2782488, 767876, 2318276, 19.970
6, 5, 12, 1737201, 358401, 638904, 17.897
6, 5, 11, 552636, 202700, 447002, 15.501
6, 5, 10, 322404, 82310, 97344, 14.595
6, 5, 9, 83734, 43112, 67276, 1.197
6, 5, 8, 46728, 14912, 10672, 1.041
6, 5, 7, 9148, 7332, 7640, 0.909
6, 5, 6, 5054, 2062, 754, 0.891
6, 5, 5, 650, 968, 638, 0.866
6, 5, 4, 420, 202, 29, 0.858
6, 5, 3, 28, 96, 32, 0.852
6, 5, 2, 20, 16, 0, 0.866
6, 5, 1, 0, 6, 0, 0.866
6, 5, 0, 0, 1, 0, 0.853
