width,height,ply,wincount,drawcount,lostcount,time
5, 5, 25, 0, 339437, 244812, 2.565
5, 5, 24, 333513, 897921, 780164, 1.988
5, 5, 23, 843204, 1447451, 2055258, 2.447
5, 5, 22, 2303386, 1692161, 2636933, 2.837
5, 5, 21, 2769392, 1959697, 4291454, 3.268
5, 5, 20, 4300149, 1785757, 3727019, 3.535
5, 5, 19, 3702331, 1712167, 4541032, 3.701
5, 5, 18, 4190967, 1322485, 2882893, 3.549
5, 5, 17, 2748641, 1118666, 2922583, 3.419
5, 5, 16, 2584341, 746420, 1439076, 3.110
5, 5, 15, 1342188, 572587, 1316566, 2.803
5, 5, 14, 1120140, 331971, 496845, 2.386
5, 5, 13, 459878, 235063, 433467, 2.060
5, 5, 12, 356731, 116426, 122979, 1.784
5, 5, 11, 114865, 76558, 108341, 1.609
5, 5, 10, 85493, 32021, 22118, 1.468
5, 5, 9, 20897, 19616, 20329, 0.195
5, 5, 8, 15432, 6863, 2765, 0.157
5, 5, 7, 2670, 4002, 2683, 0.134
5, 5, 6, 1985, 1146, 219, 0.136
5, 5, 5, 213, 625, 237, 0.124
5, 5, 4, 196, 139, 10, 0.124
5, 5, 3, 12, 73, 10, 0.131
5, 5, 2, 10, 15, 0, 0.126
5, 5, 1, 0, 5, 0, 0.119
5, 5, 0, 0, 1, 0, 0.120
