width,height,ply,wincount,drawcount,lostcount,time
6, 6, 36, 0, 49981730, 40044990, 48.507
6, 6, 35, 54244612, 149951066, 197034676, 69.583
6, 6, 34, 219995950, 276221222, 502035320, 99.266
6, 6, 33, 554598782, 373041874, 1167659076, 138.985
6, 6, 32, 1144004318, 450464011, 1841291613, 172.337
6, 6, 31, 1785392828, 468490136, 3007279574, 236.301
6, 6, 30, 2688933070, 471148650, 3476328802, 279.597
6, 6, 29, 3089884946, 435398174, 4469417644, 365.862
6, 6, 28, 3690830516, 384569265, 4030760404, 375.650
6, 6, 27, 3392753538, 322390736, 4318869880, 463.915
6, 6, 26, 3409198318, 259072600, 3223332998, 443.498
6, 6, 25, 2645054112, 202034082, 3015867732, 491.851
6, 6, 24, 2318803344, 150351002, 1929105096, 391.150
6, 6, 23, 1561655780, 108518894, 1616415130, 387.549
6, 6, 22, 1219869020, 75033304, 901278168, 300.567
6, 6, 21, 725182660, 50189136, 687992224, 266.632
6, 6, 20, 512669271, 32320349, 339135354, 187.683
6, 6, 19, 272162860, 20210438, 238672448, 149.199
6, 6, 18, 175768828, 12096840, 104937956, 101.397
6, 6, 17, 83960708, 7060426, 68412756, 75.288
6, 6, 16, 49751882, 3911893, 27021039, 52.305
6, 6, 15, 21523754, 2144618, 16310672, 38.406
6, 6, 14, 11699108, 1098276, 5831790, 27.539
6, 6, 13, 4597758, 565760, 3231266, 22.737
6, 6, 12, 2277583, 267636, 1050857, 18.084
6, 6, 11, 815366, 129592, 523156, 16.918
6, 6, 10, 363196, 56710, 156360, 14.304
6, 6, 9, 118724, 25104, 67214, 4.565
6, 6, 8, 46002, 10280, 18640, 2.377
6, 6, 7, 13868, 3982, 6480, 0.902
6, 6, 6, 4544, 1580, 1752, 0.447
6, 6, 5, 1324, 534, 398, 0.344
6, 6, 4, 300, 220, 131, 0.264
6, 6, 3, 98, 52, 6, 0.261
6, 6, 2, 6, 24, 6, 0.249
6, 6, 1, 6, 0, 0, 0.261
6, 6, 0, 0, 0, 1, 0.256
