width,height,count,time,GC,bytes,RAM
1, 12, 13, 5.498, 0.7300, 24159191040, 0.0001
2, 11, 333745, 10.389, 0.7742, 24159191040, 0.0005
3, 10, 294664010, 21.419, 0.6034, 24159191040, 0.0015
4, 9, 8754703921, 588.564, 0.1194, 24159191040, 0.0851
5, 8, 182795971462, 5594.897, 0.0658, 24159191040, 0.5390
