6, 7, 0, 1, 0.000
6, 7, 1, 6, 0.002
6, 7, 2, 36, 0.001
6, 7, 3, 156, 0.001
6, 7, 4, 651, 0.003
6, 7, 5, 2256, 0.003
6, 7, 6, 7876, 0.005
6, 7, 7, 24336, 0.008
6, 7, 8, 75162, 0.018
6, 7, 9, 214462, 0.023
6, 7, 10, 601940, 1.234
6, 7, 11, 1591258, 1.142
6, 7, 12, 4056886, 1.076
6, 7, 13, 9917252, 1.164
6, 7, 14, 23227672, 1.364
6, 7, 15, 52958960, 1.728
6, 7, 16, 114698070, 2.389
6, 7, 17, 244456844, 3.438
6, 7, 18, 490819002, 5.173
6, 7, 19, 978883966, 8.232
6, 7, 20, 1824197552, 12.262
6, 7, 21, 3399545784, 19.735
6, 7, 22, 5870954544, 28.847
6, 7, 23, 10185894436, 45.500
6, 7, 24, 16254087790, 64.474
6, 7, 25, 26134607832, 112.706
6, 7, 26, 38351907392, 160.858
6, 7, 27, 56716578042, 244.238
6, 7, 28, 75906226516, 304.792
6, 7, 29, 102140942156, 448.046
6, 7, 30, 123331134318, 538.152
6, 7, 31, 149111377208, 764.005
6, 7, 32, 159900294166, 851.139
6, 7, 33, 169802547874, 1219.359
6, 7, 34, 156904850764, 2092.884
6, 7, 35, 140727081658, 3302.740
6, 7, 36, 107340873512, 4070.049
6, 7, 37, 78867106518, 4321.156
6, 7, 38, 48922796090, 3551.541
6, 7, 39, 28829728460, 2503.492
6, 7, 40, 13873897472, 1246.025
6, 7, 41, 5675489862, 657.705
6, 7, 42, 1288039490, 242.134
